val: step: 0 | loss: 10.9671
hellaswag: accuracy: 0.1840 | total: 2000 | correct: 368
hellaswag: accuracy: 0.1840 | total: 2000 | correct: 368
hellaswag: accuracy: 0.1840 | total: 2000 | correct: 368
hellaswag: accuracy: 0.1840 | total: 2000 | correct: 368
train: step: 0 | loss: 10.9773 | norm: 6.0355 | dt: 63077.40ms | tok/sec: 8311.82 | lr: 0.000001
train: step: 1 | loss: 10.9532 | norm: 6.0748 | dt: 388.42ms | tok/sec: 1349808.68 | lr: 0.000002
train: step: 2 | loss: 10.9089 | norm: 6.0135 | dt: 386.52ms | tok/sec: 1356445.46 | lr: 0.000003
train: step: 3 | loss: 10.8454 | norm: 6.0280 | dt: 386.66ms | tok/sec: 1355944.45 | lr: 0.000003
train: step: 4 | loss: 10.7656 | norm: 5.6677 | dt: 387.51ms | tok/sec: 1352956.17 | lr: 0.000004
train: step: 5 | loss: 10.6676 | norm: 5.1808 | dt: 386.23ms | tok/sec: 1357446.06 | lr: 0.000005
train: step: 6 | loss: 10.5724 | norm: 4.7419 | dt: 388.26ms | tok/sec: 1350349.93 | lr: 0.000006
train: step: 7 | loss: 10.4685 | norm: 4.1983 | dt: 388.14ms | tok/sec: 1350780.43 | lr: 0.000007
train: step: 8 | loss: 10.4063 | norm: 3.8072 | dt: 387.68ms | tok/sec: 1352362.09 | lr: 0.000008
train: step: 9 | loss: 10.2908 | norm: 3.5234 | dt: 387.56ms | tok/sec: 1352784.72 | lr: 0.000008
train: step: 10 | loss: 10.1720 | norm: 3.3855 | dt: 387.58ms | tok/sec: 1352731.46 | lr: 0.000009
train: step: 11 | loss: 10.1486 | norm: 3.0877 | dt: 390.89ms | tok/sec: 1341274.31 | lr: 0.000010
train: step: 12 | loss: 10.0701 | norm: 2.9286 | dt: 388.44ms | tok/sec: 1349711.74 | lr: 0.000011
train: step: 13 | loss: 9.9532 | norm: 2.7709 | dt: 387.60ms | tok/sec: 1352656.57 | lr: 0.000012
train: step: 14 | loss: 9.9373 | norm: 2.6537 | dt: 387.31ms | tok/sec: 1353652.43 | lr: 0.000013
train: step: 15 | loss: 9.9019 | norm: 2.5196 | dt: 388.21ms | tok/sec: 1350519.94 | lr: 0.000013
train: step: 16 | loss: 9.8402 | norm: 2.4545 | dt: 387.13ms | tok/sec: 1354301.85 | lr: 0.000014
train: step: 17 | loss: 9.7361 | norm: 2.4571 | dt: 387.84ms | tok/sec: 1351830.03 | lr: 0.000015
train: step: 18 | loss: 9.7287 | norm: 2.2861 | dt: 387.57ms | tok/sec: 1352749.77 | lr: 0.000016
train: step: 19 | loss: 9.7278 | norm: 2.2100 | dt: 387.23ms | tok/sec: 1353948.30 | lr: 0.000017
train: step: 20 | loss: 9.6931 | norm: 2.1373 | dt: 387.12ms | tok/sec: 1354338.55 | lr: 0.000018
train: step: 21 | loss: 9.6128 | norm: 2.1685 | dt: 386.48ms | tok/sec: 1356572.65 | lr: 0.000018
train: step: 22 | loss: 9.5939 | norm: 2.0849 | dt: 386.56ms | tok/sec: 1356275.63 | lr: 0.000019
train: step: 23 | loss: 9.5930 | norm: 2.0786 | dt: 387.46ms | tok/sec: 1353144.32 | lr: 0.000020
train: step: 24 | loss: 9.5722 | norm: 2.0560 | dt: 390.29ms | tok/sec: 1343321.04 | lr: 0.000021
train: step: 25 | loss: 9.5572 | norm: 2.0380 | dt: 386.61ms | tok/sec: 1356125.91 | lr: 0.000022
train: step: 26 | loss: 9.5335 | norm: 2.0353 | dt: 385.91ms | tok/sec: 1358586.62 | lr: 0.000023
train: step: 27 | loss: 9.4771 | norm: 2.0412 | dt: 387.07ms | tok/sec: 1354512.07 | lr: 0.000023
train: step: 28 | loss: 9.4503 | norm: 2.0552 | dt: 385.41ms | tok/sec: 1360350.72 | lr: 0.000024
train: step: 29 | loss: 9.4694 | norm: 2.0478 | dt: 386.93ms | tok/sec: 1355000.33 | lr: 0.000025
train: step: 30 | loss: 9.4233 | norm: 2.0497 | dt: 404.74ms | tok/sec: 1295379.48 | lr: 0.000026
train: step: 31 | loss: 9.4013 | norm: 2.0334 | dt: 386.52ms | tok/sec: 1356448.80 | lr: 0.000027
train: step: 32 | loss: 9.3757 | norm: 2.0519 | dt: 386.79ms | tok/sec: 1355495.62 | lr: 0.000028
train: step: 33 | loss: 9.3669 | norm: 1.9831 | dt: 386.99ms | tok/sec: 1354798.30 | lr: 0.000029
train: step: 34 | loss: 9.3202 | norm: 1.9888 | dt: 387.18ms | tok/sec: 1354111.71 | lr: 0.000029
train: step: 35 | loss: 9.3365 | norm: 1.9988 | dt: 388.23ms | tok/sec: 1350444.47 | lr: 0.000030
train: step: 36 | loss: 9.2703 | norm: 1.9847 | dt: 388.24ms | tok/sec: 1350411.29 | lr: 0.000031
train: step: 37 | loss: 9.3600 | norm: 1.9254 | dt: 388.58ms | tok/sec: 1349254.61 | lr: 0.000032
train: step: 38 | loss: 9.2491 | norm: 1.9413 | dt: 388.42ms | tok/sec: 1349796.25 | lr: 0.000033
train: step: 39 | loss: 9.2115 | norm: 1.9269 | dt: 388.69ms | tok/sec: 1348859.01 | lr: 0.000034
train: step: 40 | loss: 9.1471 | norm: 1.8881 | dt: 388.77ms | tok/sec: 1348576.10 | lr: 0.000034
train: step: 41 | loss: 9.1685 | norm: 1.9362 | dt: 388.27ms | tok/sec: 1350332.52 | lr: 0.000035
train: step: 42 | loss: 9.0825 | norm: 1.8486 | dt: 387.75ms | tok/sec: 1352114.30 | lr: 0.000036
train: step: 43 | loss: 9.0636 | norm: 1.8541 | dt: 386.71ms | tok/sec: 1355760.54 | lr: 0.000037
train: step: 44 | loss: 9.0085 | norm: 1.8635 | dt: 387.29ms | tok/sec: 1353742.42 | lr: 0.000038
train: step: 45 | loss: 8.9405 | norm: 1.8498 | dt: 388.02ms | tok/sec: 1351174.67 | lr: 0.000039
train: step: 46 | loss: 8.9576 | norm: 1.8161 | dt: 386.59ms | tok/sec: 1356184.45 | lr: 0.000039
train: step: 47 | loss: 8.8677 | norm: 1.8001 | dt: 387.03ms | tok/sec: 1354635.56 | lr: 0.000040
train: step: 48 | loss: 8.8456 | norm: 1.7652 | dt: 387.36ms | tok/sec: 1353477.46 | lr: 0.000041
