val: step: 0 | loss: 10.9246
train: step: 0 | loss: 10.9184 | norm: 5.6690 | dt: 23662.01ms | tok/sec: 22157.37 | lr: 0.000001
train: step: 1 | loss: 10.9008 | norm: 5.6882 | dt: 390.48ms | tok/sec: 1342678.82 | lr: 0.000002
train: step: 2 | loss: 10.8727 | norm: 5.5532 | dt: 388.68ms | tok/sec: 1348907.00 | lr: 0.000003
train: step: 3 | loss: 10.8080 | norm: 5.5525 | dt: 388.20ms | tok/sec: 1350554.78 | lr: 0.000003
train: step: 4 | loss: 10.7308 | norm: 5.1871 | dt: 387.59ms | tok/sec: 1352694.01 | lr: 0.000004
train: step: 5 | loss: 10.6600 | norm: 4.8158 | dt: 387.71ms | tok/sec: 1352282.26 | lr: 0.000005
train: step: 6 | loss: 10.5423 | norm: 4.4463 | dt: 388.01ms | tok/sec: 1351217.01 | lr: 0.000006
train: step: 7 | loss: 10.4610 | norm: 3.9898 | dt: 387.86ms | tok/sec: 1351742.77 | lr: 0.000007
train: step: 8 | loss: 10.3936 | norm: 3.6832 | dt: 388.99ms | tok/sec: 1347834.66 | lr: 0.000008
train: step: 9 | loss: 10.2683 | norm: 3.4573 | dt: 390.43ms | tok/sec: 1342851.82 | lr: 0.000008
train: step: 10 | loss: 10.1646 | norm: 3.3467 | dt: 387.65ms | tok/sec: 1352491.85 | lr: 0.000009
train: step: 11 | loss: 10.1293 | norm: 3.0525 | dt: 390.76ms | tok/sec: 1341727.69 | lr: 0.000010
train: step: 12 | loss: 10.0577 | norm: 2.8836 | dt: 389.00ms | tok/sec: 1347776.84 | lr: 0.000011
train: step: 13 | loss: 9.9416 | norm: 2.7335 | dt: 390.18ms | tok/sec: 1343724.89 | lr: 0.000012
train: step: 14 | loss: 9.9117 | norm: 2.6095 | dt: 389.17ms | tok/sec: 1347185.65 | lr: 0.000013
train: step: 15 | loss: 9.8926 | norm: 2.4803 | dt: 390.74ms | tok/sec: 1341780.09 | lr: 0.000013
train: step: 16 | loss: 9.8235 | norm: 2.4204 | dt: 391.70ms | tok/sec: 1338483.87 | lr: 0.000014
train: step: 17 | loss: 9.7266 | norm: 2.4224 | dt: 389.63ms | tok/sec: 1345608.65 | lr: 0.000015
train: step: 18 | loss: 9.7098 | norm: 2.2786 | dt: 389.07ms | tok/sec: 1347525.77 | lr: 0.000016
train: step: 19 | loss: 9.7112 | norm: 2.2222 | dt: 387.90ms | tok/sec: 1351589.07 | lr: 0.000017
train: step: 20 | loss: 9.6863 | norm: 2.1619 | dt: 390.19ms | tok/sec: 1343669.88 | lr: 0.000018
train: step: 21 | loss: 9.5871 | norm: 2.1950 | dt: 392.90ms | tok/sec: 1334394.40 | lr: 0.000018
train: step: 22 | loss: 9.5758 | norm: 2.1182 | dt: 390.43ms | tok/sec: 1342858.38 | lr: 0.000019
train: step: 23 | loss: 9.5790 | norm: 2.1144 | dt: 389.30ms | tok/sec: 1346742.59 | lr: 0.000020
train: step: 24 | loss: 9.5518 | norm: 2.0994 | dt: 389.87ms | tok/sec: 1344763.55 | lr: 0.000021
train: step: 25 | loss: 9.5352 | norm: 2.0801 | dt: 388.84ms | tok/sec: 1348333.83 | lr: 0.000022
train: step: 26 | loss: 9.5078 | norm: 2.0721 | dt: 389.50ms | tok/sec: 1346053.43 | lr: 0.000023
train: step: 27 | loss: 9.4560 | norm: 2.0754 | dt: 390.42ms | tok/sec: 1342864.94 | lr: 0.000023
train: step: 28 | loss: 9.4476 | norm: 2.0825 | dt: 390.74ms | tok/sec: 1341791.55 | lr: 0.000024
train: step: 29 | loss: 9.4478 | norm: 2.0667 | dt: 388.69ms | tok/sec: 1348863.97 | lr: 0.000025
train: step: 30 | loss: 9.4008 | norm: 2.0654 | dt: 388.24ms | tok/sec: 1350423.73 | lr: 0.000026
train: step: 31 | loss: 9.3846 | norm: 2.0480 | dt: 389.71ms | tok/sec: 1345317.23 | lr: 0.000027
train: step: 32 | loss: 9.3613 | norm: 2.0663 | dt: 389.51ms | tok/sec: 1346034.48 | lr: 0.000028
train: step: 33 | loss: 9.3450 | norm: 1.9926 | dt: 390.68ms | tok/sec: 1341991.35 | lr: 0.000029
train: step: 34 | loss: 9.3057 | norm: 1.9989 | dt: 393.08ms | tok/sec: 1333806.80 | lr: 0.000029
train: step: 35 | loss: 9.3253 | norm: 2.0086 | dt: 393.51ms | tok/sec: 1332352.97 | lr: 0.000030
train: step: 36 | loss: 9.2601 | norm: 1.9940 | dt: 393.21ms | tok/sec: 1333368.45 | lr: 0.000031
